molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
benzamide,16,-104.652113,3.692598,6067.047,27,0.048605,NONE,-104.636711,3.695255,4869.136,22,0.047925,-0.015401999999994587,0.015401999999994587,-0.0026570000000001315,0.0026570000000001315,1197.9109999999991,1197.9109999999991,5,5,0.00068,0.00068,gemini
butane,14,-73.396653,7.085294,3306.292,20,0.041147,NONE,-73.401418,7.082658,2000.631,13,0.045716,0.0047650000000061254,0.0047650000000061254,0.0026359999999998607,0.0026359999999998607,1305.6609999999998,1305.6609999999998,7,7,-0.004568999999999997,0.004568999999999997,gemini
chloroform,5,-18.887656,5.207513,1016.18,8,0.048482,NONE,-18.887699,5.207719,959.026,8,0.04866,4.300000000156956e-05,4.300000000156956e-05,-0.00020600000000037255,0.00020600000000037255,57.153999999999996,57.153999999999996,0,0,-0.00017800000000000454,0.00017800000000000454,gemini
chloroethane,8,-38.895412,6.189762,1161.549,10,0.036896,NONE,-38.894999,6.198766,894.022,7,0.043981,-0.00041300000000177306,0.00041300000000177306,-0.009004000000000012,0.009004000000000012,267.52699999999993,267.52699999999993,3,3,-0.007085000000000001,0.007085000000000001,gemini
chloromethane,5,-22.292209,6.195263,855.034,10,0.037689,NONE,-22.292052,6.19888,817.72,10,0.046916,-0.00015699999999796432,0.00015699999999796432,-0.0036170000000002034,0.0036170000000002034,37.313999999999965,37.313999999999965,0,0,-0.009226999999999999,0.009226999999999999,gemini
dichloromethane,5,-20.62857,5.760128,701.745,7,0.04026,NONE,-20.62878,5.750158,665.047,7,0.019785,0.0002099999999991553,0.0002099999999991553,0.009970000000000034,0.009970000000000034,36.69799999999998,36.69799999999998,0,0,0.020474999999999997,0.020474999999999997,gemini
1-hexanol,21,-112.259658,5.25379,21848.588,77,0.046059,NONE,-113.171879,5.502205,2971.823,14,0.049576,0.9122210000000024,0.9122210000000024,-0.2484149999999996,0.2484149999999996,18876.765,18876.765,63,63,-0.0035169999999999993,0.0035169999999999993,gemini
butyric_acid,14,-80.51021,5.263005,5027.713,26,0.035706,NONE,-80.565012,5.354799,2053.392,11,0.049858,0.05480199999999513,0.05480199999999513,-0.09179400000000015,0.09179400000000015,2974.321,2974.321,15,15,-0.014151999999999998,0.014151999999999998,gemini
alanine,13,-75.77611,4.605592,11100.356,53,0.047859,NONE,-75.937285,4.353953,8999.813,41,0.033685,0.16117500000000007,0.16117500000000007,0.25163899999999995,0.25163899999999995,2100.5429999999997,2100.5429999999997,12,12,0.014173999999999999,0.014173999999999999,gemini
dimethyl_ether,9,-46.729194,5.387955,2603.324,21,0.032266,NONE,-46.724089,5.384276,1306.506,11,0.038675,-0.005105000000000359,0.005105000000000359,0.003678999999999988,0.003678999999999988,1296.818,1296.818,10,10,-0.006408999999999998,0.006408999999999998,gemini
